Ai,TOPSIS,TOPSIS dir
Austria,0.0002554467852396991,-1.0
Belgium,0.0002638068086335821,1.0
Bulgaria,0.0311023404973374,-1.0
Croatia,0.050546615264001504,1.0
Cyprus,0.04566414802724905,-1.0
Czech Republic,9.801238226936348e-05,-1.0
Denmark,0.00024712086499312225,-1.0
Estonia,0.004670483028349159,-1.0
Finland,0.0012225116280587534,1.0
France,0.004744008869560501,1.0
Germany,0.0005341082741076031,1.0
Greece,0.00929459756225992,1.0
Hungary,0.008130981949566518,1.0
Ireland,0.0013883824391471844,1.0
Italy,0.001875214493661126,-1.0
Latvia,0.006918101858458314,-1.0
Lithuania,0.0015640550399985687,-1.0
Luxembourg,0.00457855249666439,-1.0
Malta,0.005089730191113029,-1.0
Netherlands,0.0033473866963931176,-1.0
Poland,0.015600002144934844,1.0
Portugal,0.007437971071824978,1.0
Romania,0.008352205761267162,1.0
Slovakia,0.0016698309031196734,1.0
Slovenia,0.0016988102314633435,1.0
Spain,0.003649739610594227,1.0
Sweden,0.000327445564626605,1.0
United Kingdom,0.00013573066109440202,1.0
